id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
43ec41b9-f07c-4ae0-9ece-51cdb2bbc9e0|AMPLER BIKES OÜ|False|['Transportation', 'Engineering']|AMPLER BIKES|840485.03|44.0|12.0|74
b682e9ad-47af-47ec-baa4-b641c6beed29|GSCAN OÜ|False|['Deep tech', 'Machinery & Electrical', 'Manufacturing']|GSCAN|632542.45|43.0|0.0|85
fec77cab-e9b9-4b0d-bd08-df064feda5c3|R8 TECHNOLOGIES OÜ|False|['Proptech', 'Cleantech']|R8 TECHNOLOGIES|960182.95|39.0|-1.0|9
99197307-0ab6-4203-808d-94acf466f23e|FRACTORY SOLUTIONS OÜ|False|['Engineering', 'Infrastructure & Logistics', 'Manufacturing']|FRACTORY|1930443.42|32.0|-1.0|14
4e04479b-c1ad-4c90-9eda-4d4e05fafd73|POWERUP FUEL CELLS OÜ|False|['Deep tech', 'Cleantech', 'Energy']|POWERUP FUEL CELLS OÜ|84456.62|30.0|0.0|68
52efff7a-66c6-4380-92cb-7d5c82104fc3|EAGRONOM OÜ|False|['Agriculture, Aquaculture & Agritech']|EAGRONOM|840217.43|30.0|3.0|49
60194c89-697e-4e67-ae6f-77ef8973b158|MRPEASY OÜ|False|['Software & Services']|MRP EASY|2089728.09|30.0|-2.0|4
76c3c992-a03f-4dbe-8819-72281b503887|FUSEBOX OÜ|False|['Energy', 'Software & Services', 'Cleantech']|FUSEBOX ENERGY|504648.90|30.0|10.0|85
962f0420-7e73-488d-a0a1-2c29632c470f|CYBERCUBE ANALYTICS DIGITAL OÜ|False|['Software & Services']|CYBERCUBE ANALYTICS|748284.77|28.0|4.0|1
62c06e26-f190-47bf-a738-d75bd1abea99|SNABB OÜ|False|['E-commerce', 'Proptech', 'Software & Services']|SNABB|1057497.22|26.0|1.0|-3
6ed2aca2-1f62-4bdb-8fb6-4fc3b5962d7a|KAPPAZETA OÜ|False|['Data & Analytics', 'Deep tech', 'Software & Services']|KAPPAZETA|266460.09|26.0|3.0|-16
6e767c2b-1aa9-4ef0-9a8e-5bea23a69cbf|1OT OÜ|False|['Telecommunication & Services', 'Software & Services']|1OT|1554394.29|25.0|2.0|13
ec8937ca-d966-4592-b5a3-9306ad31f7b4|MODASH OÜ|False|['Software & Services']|MODASH|6783327.62|25.0|1.0|39
0b90a5bf-02bf-4e34-96d9-6e84264dd367|AUVE TECH OÜ|False|['Infrastructure & Logistics', 'Automotive', 'Transportation']|AUVE|287114.76|24.0|-2.0|-83
6e028f27-2a41-4648-a895-94cdea73819e|ESTO AS|False|['Software & Services', 'E-commerce', 'Fintech']|ESTO|224992.06|24.0|-2.0|-2
f3e961af-ecf4-4326-8b49-aef2031101e6|LEI REGISTER OÜ|False|['Fintech', 'Software & Services']|LEI REGISTER|5211869.63|24.0|0.0|9
0a83948b-b67b-489b-99a0-b8fbbc345d66|READY PLAYER ME OÜ|False|['Software & Services']|WOLF3D|1498769.89|23.0|-4.0|29
0e874640-2112-420f-85a2-21fcb4918f85|KRATTWORKS OÜ|False|['Defence', 'Hardware & Electronic Equipment', 'Software & Services']|KRATTWORKS|220816.08|22.0|0.0|146
984aa9cd-beda-4907-b1a5-55863f2494e5|RANGEFORCE OÜ|False|['Software & Services', 'Telecommunication & Services']|RANGEFORCE|617757.56|22.0|-1.0|-31
c64e716c-c37c-44d7-a719-aebb6627ef74|SALV TECHNOLOGIES OÜ|False|['Software & Services', 'Fintech']|SALV|1463613.79|21.0|-9.0|15
